bin_id,Q2_min,Q2_max,x_min,x_max,phperp_pi_min,phperp_pi_max,z_pi_min,z_pi_max
66,1.00000000,5.00000000,0.20000000,0.23600000,0.40000000,0.60000000,0.55000000,1.00000000
67,1.00000000,5.00000000,0.20000000,0.23600000,0.60000000,1.00000000,0.00000000,0.15000000
68,1.00000000,5.00000000,0.20000000,0.23600000,0.60000000,1.00000000,0.15000000,0.25000000
69,1.00000000,5.00000000,0.20000000,0.23600000,0.60000000,1.00000000,0.25000000,0.35000000
70,1.00000000,5.00000000,0.20000000,0.23600000,0.60000000,1.00000000,0.35000000,0.55000000
71,1.00000000,5.00000000,0.20000000,0.23600000,0.60000000,1.00000000,0.55000000,1.00000000
72,1.00000000,5.00000000,0.20000000,0.23600000,1.00000000,3.00000000,0.00000000,0.25000000
73,1.00000000,5.00000000,0.20000000,0.23600000,1.00000000,3.00000000,0.25000000,0.35000000
74,1.00000000,5.00000000,0.20000000,0.23600000,1.00000000,3.00000000,0.35000000,1.00000000
75,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.00000000,0.07500000
76,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.07500000,0.15000000
77,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.15000000,0.25000000
78,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.25000000,0.35000000
79,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.35000000,0.55000000
80,1.00000000,5.00000000,0.23600000,0.27400000,0.00000000,0.20000000,0.55000000,1.00000000
81,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.00000000,0.07500000
82,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.07500000,0.15000000
83,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.15000000,0.25000000
84,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.25000000,0.35000000
85,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.35000000,0.55000000
86,1.00000000,5.00000000,0.23600000,0.27400000,0.20000000,0.40000000,0.55000000,1.00000000
87,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.00000000,0.15000000
88,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.15000000,0.25000000
89,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.25000000,0.35000000
90,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.35000000,0.55000000
91,1.00000000,5.00000000,0.23600000,0.27400000,0.40000000,0.60000000,0.55000000,1.00000000
92,1.00000000,5.00000000,0.23600000,0.27400000,0.60000000,1.00000000,0.00000000,0.15000000
93,1.00000000,5.00000000,0.23600000,0.27400000,0.60000000,1.00000000,0.15000000,0.25000000
94,1.00000000,5.00000000,0.23600000,0.27400000,0.60000000,1.00000000,0.25000000,0.35000000
95,1.00000000,5.00000000,0.23600000,0.27400000,0.60000000,1.00000000,0.35000000,0.55000000
96,1.00000000,5.00000000,0.23600000,0.27400000,0.60000000,1.00000000,0.55000000,1.00000000
97,1.00000000,5.00000000,0.23600000,0.27400000,1.00000000,3.00000000,0.00000000,0.25000000
98,1.00000000,5.00000000,0.23600000,0.27400000,1.00000000,3.00000000,0.25000000,0.35000000
99,1.00000000,5.00000000,0.23600000,0.27400000,1.00000000,3.00000000,0.35000000,1.00000000
100,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.00000000,0.07500000
101,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.07500000,0.15000000
102,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.15000000,0.25000000
103,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.25000000,0.35000000
104,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.35000000,0.55000000
105,1.00000000,5.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.55000000,1.00000000
106,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.00000000,0.07500000
107,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.07500000,0.15000000
108,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.15000000,0.25000000
109,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.25000000,0.35000000
110,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.35000000,0.55000000
111,1.00000000,5.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.55000000,1.00000000
112,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.00000000,0.15000000
113,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.15000000,0.25000000
114,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.25000000,0.35000000
115,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.35000000,0.55000000
116,1.00000000,5.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.55000000,1.00000000
117,1.00000000,5.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.00000000,0.15000000
118,1.00000000,5.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.15000000,0.25000000
119,1.00000000,5.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.25000000,0.35000000
120,1.00000000,5.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.35000000,0.55000000
121,1.00000000,5.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.55000000,1.00000000
122,1.00000000,5.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.00000000,0.25000000
123,1.00000000,5.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.25000000,0.35000000
124,1.00000000,5.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.35000000,1.00000000
125,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.00000000,0.07500000
126,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.07500000,0.15000000
127,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.15000000,0.25000000
128,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.25000000,0.35000000
129,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.35000000,0.55000000
130,1.00000000,5.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.55000000,1.00000000
131,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.00000000,0.07500000
132,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.07500000,0.15000000
133,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.15000000,0.25000000
134,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.25000000,0.35000000
135,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.35000000,0.55000000
136,1.00000000,5.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.55000000,1.00000000
137,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.00000000,0.15000000
138,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.15000000,0.25000000
139,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.25000000,0.35000000
140,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.35000000,0.55000000
141,1.00000000,5.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.55000000,1.00000000
142,1.00000000,5.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.00000000,0.15000000
143,1.00000000,5.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.15000000,0.25000000
144,1.00000000,5.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.25000000,0.35000000
