bin_id,Q2_min,Q2_max,x_min,x_max,phperp_pim_min,phperp_pim_max,z_pim_min,z_pim_max
33,1.00000000,5.00000000,0.16200000,0.20000000,0.20000000,0.40000000,0.25000000,0.35000000
34,1.00000000,5.00000000,0.16200000,0.20000000,0.20000000,0.40000000,0.35000000,0.55000000
35,1.00000000,5.00000000,0.16200000,0.20000000,0.20000000,0.40000000,0.55000000,1.00000000
36,1.00000000,5.00000000,0.16200000,0.20000000,0.40000000,0.60000000,0.00000000,0.10000000
37,1.00000000,5.00000000,0.16200000,0.20000000,0.40000000,0.60000000,0.10000000,0.15000000
38,1.00000000,5.00000000,0.16200000,0.20000000,0.40000000,0.60000000,0.15000000,0.25000000
39,1.00000000,5.00000000,0.16200000,0.20000000,0.40000000,0.60000000,0.25000000,0.35000000
40,1.00000000,5.00000000,0.16200000,0.20000000,0.40000000,0.60000000,0.35000000,0.55000000
41,1.00000000,5.00000000,0.16200000,0.20000000,0.40000000,0.60000000,0.55000000,1.00000000
42,1.00000000,5.00000000,0.16200000,0.20000000,0.60000000,1.00000000,0.00000000,0.15000000
43,1.00000000,5.00000000,0.16200000,0.20000000,0.60000000,1.00000000,0.15000000,0.25000000
44,1.00000000,5.00000000,0.16200000,0.20000000,0.60000000,1.00000000,0.25000000,0.35000000
45,1.00000000,5.00000000,0.16200000,0.20000000,0.60000000,1.00000000,0.35000000,0.55000000
46,1.00000000,5.00000000,0.16200000,0.20000000,0.60000000,1.00000000,0.55000000,1.00000000
47,1.00000000,5.00000000,0.16200000,0.20000000,1.00000000,3.00000000,0.00000000,0.25000000
48,1.00000000,5.00000000,0.16200000,0.20000000,1.00000000,3.00000000,0.25000000,0.35000000
49,1.00000000,5.00000000,0.16200000,0.20000000,1.00000000,3.00000000,0.35000000,1.00000000
50,1.00000000,5.00000000,0.20000000,0.23600000,0.00000000,0.20000000,0.00000000,0.15000000
51,1.00000000,5.00000000,0.20000000,0.23600000,0.00000000,0.20000000,0.15000000,0.25000000
