Q2,W,x,y,z_km,phperp_km,aff_m_k_i_mc,aff_m_k_f_mc,aff_xi_mc,aff_x_N_mc,aff_theta_k_i_mc,aff_k_iT_mc,aff_zeta_km_mc,aff_zN_km_mc,aff_theta_H_km_mc,aff_theta_delta_kT_km_mc,aff_delta_kT_km_mc
3.8854222,3.2226856,0.29015672,0.32435763,0.2515768,0.34109014,0.25907615,0.0056,0.34288993,0.24797533,-1.4013814,0.36296436,0.23635294,0.2407215,1.7034336,1.3211436,0.03577564
3.8854222,3.2226856,0.29015672,0.32435763,0.14694561,0.4695094,0.25907615,0.0056,0.34288993,0.24797533,-1.4013814,0.36296436,0.12880513,0.13118586,2.1689587,2.6703415,0.31394872
4.119668,3.3116279,0.28999102,0.34410915,0.4189461,1.0170536,0.65227693,0.0099,0.3563893,0.24225375,2.6273293,0.5710849,0.42916405,0.41793257,-0.7814607,-1.3106693,0.2986692
5.1736565,4.8680453,0.18483175,0.6780154,0.099860825,0.36430565,0.54493684,0.0056,0.42869073,0.2833705,2.5053802,0.5412178,0.13139153,0.13130869,0.58332276,1.590038,0.6013285
4.4996305,3.5457172,0.27790272,0.3921955,0.33028734,0.24095498,0.38183352,0.0056,0.3590999,0.2501326,-0.45463693,0.43575975,0.32189056,0.32523733,0.74421465,0.16449039,0.7410889
8.67629,3.212263,0.4789675,0.4387797,0.23819521,0.286289,0.79021376,0.0056,0.8976837,0.592646,2.7816322,0.3232595,0.28680566,0.27087113,-0.96939737,-2.0366411,0.21125834
4.572707,4.6808386,0.1786032,0.62015843,0.19826737,0.7492304,0.6108208,0.0056,0.24149166,0.15257888,-0.9549671,0.6141656,0.19407618,0.19426093,-1.2928869,-1.1101075,1.1202012
3.473319,5.200601,0.117186606,0.71793514,0.11551771,0.6947462,0.2926747,0.0056,0.24188624,0.15932722,-2.3942032,0.3704839,0.1093585,0.110512726,-0.12952442,-0.9907788,0.3754203
6.006432,4.7023897,0.22051221,0.659785,0.15503617,0.55942345,0.39677623,0.0056,0.49994165,0.32653648,2.153102,0.43441194,0.15463406,0.15517871,-1.4197091,-2.732921,0.1877695
3.765724,3.8099272,0.21640953,0.42149323,0.51546973,0.8212534,0.7392022,0.0056,0.45817065,0.29974866,1.4680704,0.6726159,0.5116993,0.50332516,-2.0425496,-2.7541091,0.371535
4.643012,3.2457702,0.3247388,0.34632522,0.16382276,0.37733322,0.37658408,0.0056,0.55884266,0.41068372,-0.54830277,0.22276828,0.2257517,0.22125243,0.45705974,-0.1838886,0.31456468
10.396849,3.5588746,0.46870482,0.53730494,0.16730209,0.44378242,0.2569291,0.0056,0.7787074,0.50842273,-1.5336303,0.12933753,0.15987915,0.16102764,-0.5923995,-1.008252,0.258785
4.734376,5.1493726,0.15588957,0.735638,0.14191897,0.37096065,1.5671232,0.0056,0.4861245,0.27061257,1.0874814,1.1593195,0.17908686,0.15680438,-0.86356807,0.9001277,1.096854
7.192916,4.1411395,0.30658254,0.5682979,0.32944518,0.5280102,0.5698088,0.0056,0.42530325,0.2805944,1.0275073,0.48870236,0.32673544,0.3226782,-0.7266739,0.61665565,0.4932126
4.923385,4.9822054,0.17056353,0.6991915,0.13187042,0.3049257,0.19533342,0.0056,0.19855487,0.13255914,-1.9583524,0.30112287,0.124117605,0.12577441,-0.7143154,-1.1261743,0.712416
4.438343,5.1803694,0.14602591,0.73622316,0.17078392,0.853126,1.1514171,0.0056,0.23632702,0.12463394,3.1414928,1.0144945,0.1774301,0.16669199,0.97681916,2.4515936,0.844681
6.3463697,3.5973155,0.34478596,0.4458557,0.34499347,0.6880959,0.78988296,0.0056,0.46857032,0.30651724,-0.45861095,0.645669,0.34735236,0.33576763,1.4177074,0.0865755,0.63388604
6.7731934,3.748709,0.33958235,0.4831332,0.19045547,0.85385406,2.1783879,0.0056,0.5987778,0.28921437,0.7480852,1.2933906,0.280632,0.17931789,-1.3347843,0.28009704,1.1285846
8.585065,3.7739,0.39117202,0.53161144,0.30224687,0.32832292,0.86642414,0.0056,0.5256885,0.3328621,2.0005913,0.7506504,0.30130112,0.29423815,-0.48708647,1.1803708,0.45876095
8.788715,3.5871513,0.42302218,0.5032465,0.26418456,0.62431955,0.30704722,0.0099,0.67598814,0.45181635,-0.67832136,0.030214744,0.26490077,0.26232085,0.44314986,0.39322686,0.54537886
8.01364,4.031124,0.3427086,0.5664002,0.16018762,0.8663551,0.6989744,0.0099,0.61762524,0.4051269,-1.6640681,0.5006079,0.1895892,0.18451746,-0.8276565,-1.1810174,1.0737455
4.7379775,2.5666134,0.45360646,0.25300685,0.44844875,0.25350577,1.2563643,0.0056,0.7956342,0.5022767,2.40235,0.83153164,0.49887386,0.42867804,2.0892215,2.3643746,0.94275844
8.476624,3.1827607,0.47819653,0.42937326,0.20186953,0.48340353,0.8328164,0.0056,0.9107662,0.58225626,0.67876506,0.5375097,0.20273946,0.1952365,1.1911255,0.95999384,1.1502857
4.688879,2.3812673,0.4946618,0.22960386,0.46970227,0.34886003,0.58023196,0.0099,0.5456398,0.39678326,2.2228196,0.40586817,0.454408,0.43575138,-1.8614274,2.443052,0.3577489
5.275642,2.7982068,0.43153659,0.2961258,0.64886016,0.36334118,0.80802155,0.0056,0.5387499,0.359378,1.8822452,0.68577164,0.64829355,0.62468135,0.2568463,1.65663,0.6948859
