bin,llimx,count
0,0,0
1,0.0175,0
2,0.035,0
3,0.0525,0
4,0.07,0
5,0.0875,0
6,0.105,0
7,0.1225,0
8,0.14,0
9,0.1575,0
10,0.175,0
11,0.1925,0
12,0.21,0
13,0.2275,0
14,0.245,0
15,0.2625,0
16,0.28,0
17,0.2975,0
18,0.315,0
19,0.3325,0
20,0.35,0
21,0.3675,0
22,0.385,0
23,0.4025,0
24,0.42,0
25,0.4375,0
26,0.455,0
27,0.4725,0
28,0.49,0
29,0.5075,0
30,0.525,0
31,0.5425,0
32,0.56,0
33,0.5775,0
34,0.595,0
35,0.6125,0
36,0.63,0
37,0.6475,0
38,0.665,0
39,0.6825,0
40,0.7,89
41,0.7175,73
42,0.735,88
43,0.7525,96
44,0.77,69
45,0.7875,57
46,0.805,65
47,0.8225,37
48,0.84,41
49,0.8575,42
50,0.875,35
51,0.8925,27
52,0.91,22
53,0.9275,33
54,0.945,19
55,0.9625,19
56,0.98,12
57,0.9975,19
58,1.015,16
59,1.0325,7
60,1.05,10
61,1.0675,9
62,1.085,11
63,1.1025,6
64,1.12,4
65,1.1375,5
66,1.155,6
67,1.1725,4
68,1.19,4
69,1.2075,0
70,1.225,3
71,1.2425,3
72,1.26,1
73,1.2775,1
74,1.295,0
75,1.3125,0
76,1.33,1
77,1.3475,1
78,1.365,0
79,1.3825,0
80,1.4,0
81,1.4175,0
82,1.435,0
83,1.4525,0
84,1.47,0
85,1.4875,0
86,1.505,0
87,1.5225,1
88,1.54,0
89,1.5575,0
90,1.575,0
91,1.5925,0
92,1.61,0
93,1.6275,0
94,1.645,0
95,1.6625,0
96,1.68,0
97,1.6975,0
98,1.715,0
99,1.7325,0
100,1.75,0
